contestant_id,season_number,episode_number,episode_placement
118,10,10,WIN
121,10,10,ELIM
129,10,11,WIN
116,10,11,HIGH
122,10,11,BTM2
117,10,11,HIGH
118,10,11,ELIM
129,10,12,SAFE
116,10,12,SAFE
122,10,12,SAFE
117,10,12,SAFE
129,10,13,Guest
116,10,13,Guest
122,10,13,Guest
117,10,13,Guest
118,10,13,Guest
121,10,13,Guest
127,10,13,Guest
125,10,13,Guest
120,10,13,Guest
123,10,13,Guest
126,10,13,Guest
119,10,13,Guest
124,10,13,Guest
128,10,13,Guest
129,10,14,Winner
116,10,14,Runner-up
122,10,14,Runner-up
117,10,14,Eliminated
118,10,14,Guest
121,10,14,Miss C
127,10,14,Guest
125,10,14,Guest
120,10,14,Guest
123,10,14,Guest
126,10,14,Guest
119,10,14,Guest
124,10,14,Guest
128,10,14,Guest
137,11,1,HIGH
140,11,1,WIN
139,11,1,SAFE
138,11,1,SAFE
130,11,1,HIGH
131,11,1,LOW
132,11,1,SAFE
133,11,1,HIGH
142,11,1,SAFE
135,11,1,SAFE
141,11,1,SAFE
134,11,1,LOW
136,11,1,SAFE
143,11,1,BTM2
144,11,1,ELIM
137,11,2,SAFE
140,11,2,LOW
139,11,2,SAFE
138,11,2,WIN
130,11,2,SAFE
131,11,2,SAFE
132,11,2,HIGH
133,11,2,HIGH
142,11,2,SAFE
135,11,2,WIN
141,11,2,LOW
134,11,2,BTM2
136,11,2,SAFE
143,11,2,ELIM
137,11,3,BTM6
140,11,3,HIGH
139,11,3,HIGH
138,11,3,HIGH
130,11,3,HIGH
131,11,3,WIN
132,11,3,BTM6
133,11,3,BTM6
142,11,3,BTM6
135,11,3,BTM6
141,11,3,HIGH
134,11,3,HIGH
136,11,3,ELIM
137,11,4,SAFE
140,11,4,HIGH
139,11,4,WIN
138,11,4,HIGH
130,11,4,LOW
131,11,4,SAFE
132,11,4,SAFE
133,11,4,SAFE
142,11,4,BTM2
135,11,4,SAFE
141,11,4,SAFE
134,11,4,ELIM
137,11,5,SAFE
140,11,5,WIN
139,11,5,LOW
138,11,5,HIGH
130,11,5,SAFE
131,11,5,SAFE
132,11,5,BTM2
133,11,5,HIGH
142,11,5,SAFE
135,11,5,SAFE
141,11,5,ELIM
137,11,6,WIN
140,11,6,HIGH
139,11,6,HIGH
138,11,6,HIGH
